date,barranquilla,bogota,cali,cartagena,medellin
2020-07-08,24.0,46.0,13.0,8.0,1.0
2020-07-09,27.0,68.0,8.0,3.0,10.0
2020-07-10,25.0,63.0,12.0,3.0,6.0
2020-07-11,20.0,71.0,8.0,4.0,11.0
2020-07-12,16.0,59.0,14.0,6.0,12.0
2020-07-13,23.0,73.0,9.0,5.0,16.0
2020-07-14,22.0,72.0,19.0,2.0,11.0
2020-07-15,21.0,85.0,17.0,3.0,7.0
2020-07-16,17.0,76.0,11.0,3.0,11.0
2020-07-17,16.0,99.0,17.0,5.0,11.0
2020-07-18,26.0,82.0,18.0,3.0,9.0
2020-07-19,17.0,65.0,18.0,6.0,16.0
2020-07-20,10.0,91.0,24.0,7.0,9.0
2020-07-21,12.0,112.0,24.0,3.0,20.0
2020-07-22,13.0,96.0,22.0,2.0,17.0
2020-07-23,16.0,109.0,28.0,6.0,16.0
2020-07-24,8.0,105.0,21.0,5.0,13.0
2020-07-25,11.0,98.0,24.0,2.0,11.0
2020-07-26,9.0,111.0,16.0,3.0,19.0
2020-07-27,12.0,102.0,27.0,1.0,11.0
2020-07-28,10.0,97.0,25.0,4.0,27.0
2020-07-29,9.0,110.0,21.0,2.0,23.0
2020-07-30,12.0,126.0,22.0,1.0,17.0
2020-07-31,5.0,127.0,20.0,2.0,18.0
2020-08-01,8.0,85.0,22.0,1.0,25.0
2020-08-02,5.0,106.0,22.0,6.0,20.0
2020-08-03,3.0,116.0,17.0,4.0,18.0
2020-08-04,8.0,102.0,17.0,2.0,19.0
2020-08-05,5.0,112.0,16.0,2.0,14.0
2020-08-06,5.0,95.0,22.0,2.0,26.0
2020-08-07,7.0,111.0,19.0,0.0,19.0
2020-08-08,6.0,114.0,24.0,1.0,25.0
2020-08-09,5.0,97.0,16.0,4.0,28.0
2020-08-10,3.0,86.0,19.0,0.0,18.0
2020-08-11,5.0,97.0,18.0,1.0,17.0
2020-08-12,3.0,78.0,11.0,0.0,20.0
2020-08-13,4.0,72.0,17.0,1.0,14.0
2020-08-14,4.0,65.0,8.0,0.0,18.0
2020-08-15,1.0,57.0,14.0,0.0,21.0
2020-08-16,2.0,45.0,11.0,0.0,12.0
2020-08-17,1.0,6.0,2.0,0.0,3.0
